sl_no,project_id,project_code,legacy_ocms_code,pmgid,project_name,agency,ministry,sector,state,approval_date,start_date,target_completion_date,revised_completion_date,original_cost,revised_cost,cumulative_expenditure,physical_progress,cost_growth_pct,expenditure_ratio_pct,cost_overrun_cr,schedule_extension_months,is_cost_escalated,is_schedule_extended,provenance
1,PAI-612786,612786,N04000106,,"Construction of New Domestic Terminal Building Building and miscellaneous works including maintenance, operations and AICMC at Kadapa Airport",Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Andhra Pradesh,03/2023,01/2024,01/2026,07/2026,265.91,265.91,129.07,65.0,0.0,48.54,0.0,6.0,False,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.093406'}"
2,PAI-701107,701107,N04000091,4353,Construction of New Integrated Terminal Building and associated works including apron to park 3 code E type of aircraft or 6 code C type of aircraft at Vijayawada Airport.,Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Andhra Pradesh,06/2020,09/2020,09/2022,10/2026,611.8,611.8,523.14,87.2,0.0,85.51,0.0,49.0,False,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.093406'}"
3,PAI-701121,701121,N04000103,,Construction of New Domestic Terminal Building at Rajahmundry Airport.,Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Andhra Pradesh,12/2022,08/2023,08/2025,06/2026,347.15,347.15,170.79,90.0,0.0,49.2,0.0,10.0,False,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.093406'}"
4,PAI-706724,706724,N04000083,9925,Guwahati Airport New Integrated Terminal Building Construction Project,Adani Airport Holdings Limited,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Assam,12/2016,03/2018,03/2025,06/2026,1712.0,2520.0,2627.39,98.0,47.2,104.26,808.0,15.0,True,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.093406'}"
5,PAI-612183,612183,,9918,Development of New Civil Enclave at Bihta,Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Bihar,08/2024,04/2025,03/2027,,1413.0,1413.0,7.64,1.28,0.0,0.54,0.0,0.0,False,False,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.093406'}"
6,PAI-612194,612194,N04000112,9917,Development of New Civil Enclave and associated works at Darbhanga Airport,Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Bihar,07/2024,07/2024,07/2026,11/2026,911.66,911.66,374.49,65.0,0.0,41.08,0.0,4.0,False,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.093406'}"
7,PAI-701101,701101,N04000082,4356,"Construction of New Domestic Terminal Building [Phase-I and II] and other allied structures at JPNI Airport, Patna",Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Bihar,10/2018,10/2018,05/2026,05/2026,1216.9,1216.9,1200.67,98.22,0.0,98.67,0.0,0.0,False,False,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.093406'}"
8,PAI-701105,701105,N04000095,4831,Goa Airport Terminal Building Extension Project,Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Goa,11/2017,12/2019,12/2021,04/2026,255.69,255.69,156.7,100.0,0.0,61.29,0.0,52.0,False,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.093406'}"
9,PAI-619054,619054,,,Development of Keshod Airport.,Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Gujarat,01/2024,07/2025,01/2027,,363.1,363.1,87.88,33.13,0.0,24.2,0.0,0.0,False,False,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.093406'}"
10,PAI-701126,701126,N04000099,3366,"Development of Dholera International Greenfield Airport , Gujarat",Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Gujarat,06/2022,07/2022,06/2026,06/2026,1305.0,1551.0,896.82,82.0,18.85,57.82,246.0,0.0,True,False,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.093406'}"
11,PAI-611047,611047,N04000107,9921,"Construction of NTB complex including apron, taxi track and other associated civil works and electrical & mechanical installations towards Tawi River side at CA Jammu.",Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,"Jammu and
Kashmir",10/2023,12/2023,06/2026,11/2026,861.37,861.37,319.5,51.35,0.0,37.09,0.0,5.0,False,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.093406'}"
12,PAI-612787,612787,N04000108,,Construction of New Domestic Terminal Building and Miscellaneous works at Hubli Airport,Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Karnataka,06/2023,01/2024,01/2026,06/2026,320.47,320.47,148.68,77.0,0.0,46.39,0.0,5.0,False,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.093406'}"
13,PAI-612788,612788,N04000105,,Construction of New Domestic Terminal Building and Miscellaneous Works at Belagavi Airport.,Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Karnataka,06/2023,02/2024,02/2026,06/2026,322.45,322.45,204.5,87.0,0.0,63.42,0.0,4.0,False,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.093406'}"
14,PAI-612789,612789,N04000111,,"Development of additional RESA on either end on Runway 10-28 at Calicut Airport. Construction of embankment with slope protection, drainage system and associated works for additional RESA on either end on Runway 10-28",Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Kerala,06/2023,02/2024,09/2025,12/2026,484.57,484.57,204.6,59.0,0.0,42.22,0.0,15.0,False,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.093406'}"
15,PAI-400010,400010,N04000078,4665,"Construction of Terminal Building & Associated works at Leh Airport, Ladakh",Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Ladakh,07/2018,09/2018,09/2021,07/2026,480.0,640.0,501.81,78.9,33.33,78.41,160.0,58.0,True,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.093406'}"
16,PAI-706718,706718,N04000100,,C/o NITB Imphal Airport,Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Manipur,11/2021,07/2022,07/2024,12/2026,499.0,499.0,201.99,50.69,0.0,40.48,0.0,29.0,False,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.093406'}"
17,PAI-611570,611570,,,"SITC of ATM Automation System and ASMGCS [Including SMR & MLAT] for Mumbai, Navi Mumbai, Jewar [earlier MOPA, without ASMGCS], HIAL & BIAL",Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,"Multi-States
(Karnataka,
Maharashtra,
Telangana, Uttar
Pradesh)",12/2020,10/2022,09/2025,08/2026,500.48,500.48,381.2,78.0,0.0,76.17,0.0,11.0,False,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.093406'}"
18,PAI-618977,618977,,10781,"Development of New Greenfield Airport at Bundi, Kota Rajasthan.",Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Rajasthan,08/2025,10/2025,10/2027,11/2027,1507.0,1507.0,40.4,12.8,0.0,2.68,0.0,1.0,False,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.094407'}"
19,PAI-701127,701127,N04000101,,Construction of New Passenger Terminal Building for Domestic Operations at Jodhpur Airport.,Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Rajasthan,06/2022,05/2023,03/2026,04/2026,480.0,480.0,339.96,97.35,0.0,70.82,0.0,1.0,False,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.094407'}"
20,PAI-701128,701128,N04000104,4363,Construction of New Integrated Passenger Terminal Building at Udaipur Airport,Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Rajasthan,06/2023,11/2023,03/2026,09/2026,887.0,887.0,523.61,68.71,0.0,59.03,0.0,6.0,False,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.094407'}"
21,PAI-612793,612793,N04000110,,"Widening of basic strip at Western Side of Runway Chainage 80m to 920m i/c slope stabilization Measures [Balance work] of uphill and Improvement of Storm Water Drainage System at Pakyong Airport, Sikkim on design & build basis [EPC] with integrated 10 years maintenance.",Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Sikkim,11/2023,12/2023,06/2026,06/2027,323.26,323.26,80.84,34.25,0.0,25.01,0.0,12.0,False,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.298142'}"
22,PAI-611602,611602,,5163,"Modernization of Chennai Airport, Phase II, Part 2",Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Tamil Nadu,05/2018,06/2023,07/2025,12/2026,1207.0,1207.0,289.5,38.0,0.0,23.99,0.0,17.0,False,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.298142'}"
23,PAI-701113,701113,N04000114,9932,"Development of Lal Bahadur Shastri International airport, Varanasi including C/o New Terminal Building, Apron Extension, Runway Extension, PTT and allied works.",Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Uttar Pradesh,07/2024,07/2024,07/2027,07/2027,2869.65,2869.65,572.04,27.0,0.0,19.93,0.0,0.0,False,False,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.298142'}"
24,PAI-701122,701122,N04000113,9931,Development of New Integrated Civil Enclave at Agra Airport,Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Uttar Pradesh,06/2024,07/2024,07/2026,11/2026,579.0,579.0,197.61,40.03,0.0,34.13,0.0,4.0,False,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.298142'}"
25,PAI-611495,611495,N04000115,9920,Development of New Civil Enclave at Bagdogra Airport,Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,West Bengal,08/2024,09/2024,03/2027,01/2027,1549.0,1549.0,441.41,34.6,0.0,28.5,0.0,-2.0,False,False,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.298142'}"
26,PAI-612791,612791,N04000109,,"Re-Construction of Rigid portions of Secondary Runway, K and A Taxiway and Strengthening of C Taxiway at NSCBI Airport Kolkata.",Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,West Bengal,03/2023,12/2023,10/2025,08/2026,328.3,328.3,139.77,64.5,0.0,42.57,0.0,10.0,False,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.298142'}"
27,PAI-615820,615820,N06000290,,TIKAK EXTENSION OCP,,Ministry of Coal,Coal,Assam,07/2022,07/2022,07/2031,,159.77,159.77,111.47,88.18,0.0,69.77,0.0,0.0,False,False,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.298142'}"
28,PAI-615821,615821,N06000291,,TIRAP OCP,,Ministry of Coal,Coal,Assam,11/2022,11/2022,11/2030,,289.46,289.46,105.61,3.26,0.0,36.49,0.0,0.0,False,False,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.298142'}"
29,PAI-400144,400144,N06000199,3122,PORDA CHIMTAPANI OCP [10 MTY],South Eastern Coalfields Limited [SECL],Ministry of Coal,Coal,Chhattisgarh,12/2020,12/2020,03/2029,,2310.12,2310.12,113.83,11.81,0.0,4.93,0.0,0.0,False,False,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.298142'}"
30,PAI-400149,400149,N06000197,3107,BAROUD OC EXPANSION [3.0-10.0M,South Eastern Coalfields Limited [SECL],Ministry of Coal,Coal,Chhattisgarh,08/2020,08/2020,03/2029,,2309.8,2309.8,993.79,55.95,0.0,43.02,0.0,0.0,False,False,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.298142'}"
31,PAI-400354,400354,N06000200,771,DIPKA EXPANSION OCP [40 MTY],South Eastern Coalfields Limited [SECL],Ministry of Coal,Coal,Chhattisgarh,12/2020,12/2020,03/2029,,5241.4,5241.4,2910.11,38.0,0.0,55.52,0.0,0.0,False,False,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.298142'}"
32,PAI-400424,400424,,192,GEVRA OC [70 MTY],South Eastern Coalfields Limited [SECL],Ministry of Coal,Coal,Chhattisgarh,03/2016,03/2016,03/2023,03/2027,11816.4,11816.4,6905.46,78.48,0.0,58.44,0.0,48.0,False,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.298142'}"
33,PAI-613798,613798,N06000123,,AMERA OC RCE [1.0 MTY],South Eastern Coalfields Limited [SECL],Ministry of Coal,Coal,Chhattisgarh,02/2015,02/2015,03/2026,,335.97,335.97,90.88,42.47,0.0,27.05,0.0,0.0,False,False,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.298142'}"
34,PAI-613799,613799,N06000135,,AMGAON OC RCE [1.0 MTY],South Eastern Coalfields Limited [SECL],Ministry of Coal,Coal,Chhattisgarh,07/2015,07/2015,03/2026,,316.11,316.11,191.5,78.86,0.0,60.58,0.0,0.0,False,False,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.298142'}"
35,PAI-613800,613800,N06000232,,JAGANNATHPUR OC RCE PROJECT,South Eastern Coalfields Limited [SECL],Ministry of Coal,Coal,Chhattisgarh,07/2016,07/2016,03/2025,03/2027,459.49,459.49,276.8,96.15,0.0,60.24,0.0,24.0,False,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.298142'}"
36,PAI-613801,613801,N06000164,,MAHAMAYA OCP [1.50 MTY],South Eastern Coalfields Limited [SECL],Ministry of Coal,Coal,Chhattisgarh,05/2018,05/2018,03/2026,03/2028,410.26,410.26,187.63,54.6,0.0,45.73,0.0,24.0,False,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.298142'}"
37,PAI-615191,615191,N06000274,,KATKONA RO UG MINE,South Eastern Coalfields Limited [SECL],Ministry of Coal,Coal,Chhattisgarh,01/2023,01/2023,03/2029,,329.21,329.21,62.03,2.01,0.0,18.84,0.0,0.0,False,False,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.298142'}"
38,PAI-616234,616234,N06000045,7367,PELMA OC MDO,South Eastern Coalfields Limited [SECL],Ministry of Coal,Coal,Chhattisgarh,10/2022,10/2022,03/2033,,1725.04,1725.04,16.71,40.34,0.0,0.97,0.0,0.0,False,False,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.298142'}"
39,PAI-617287,617287,,9611,KUSMUNDA OC EXPANSION PROJECT,SECL - CIL,Ministry of Coal,Coal,Chhattisgarh,11/2024,11/2024,03/2030,,4516.88,4516.88,817.06,22.0,0.0,18.09,0.0,0.0,False,False,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.298142'}"
40,PAI-617288,617288,,,MANIKPUR OC EXPANSION PROJECT,South Eastern Coalfields Limited [SECL],Ministry of Coal,Coal,Chhattisgarh,01/2025,01/2025,03/2029,,382.61,382.61,116.09,21.29,0.0,30.34,0.0,0.0,False,False,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.298142'}"
41,PAI-619171,619171,,11842,RPR FOR DURGAPUR OCP 10 MTY,SECL - CIL,Ministry of Coal,Coal,Chhattisgarh,09/2025,09/2025,03/2032,,2415.91,2415.91,2.35,0.01,0.0,0.1,0.0,0.0,False,False,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.298142'}"
42,PAI-619172,619172,,11856,MADANNAGAR OCP 12 MTY - MDO,SECL - CIL,Ministry of Coal,Coal,Chhattisgarh,12/2024,12/2024,03/2029,,1859.19,1859.19,0.45,0.0,0.0,0.02,0.0,0.0,False,False,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.450918'}"
43,PAI-400018,400018,N06000275,4585,HURA C OCP,ECL - CIL,Ministry of Coal,Coal,Jharkhand,08/2022,08/2022,03/2029,,859.41,859.41,455.25,63.22,0.0,52.97,0.0,0.0,False,False,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.450918'}"
44,PAI-400073,400073,N06000245,4077,KONAR EXPANSION OCP,,Ministry of Coal,Coal,Jharkhand,01/2022,01/2022,03/2032,,799.34,799.34,433.64,53.47,0.0,54.25,0.0,0.0,False,False,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.450918'}"
45,PAI-400074,400074,N06000246,4074,KARO EXPANSION OCP,,Ministry of Coal,Coal,Jharkhand,01/2022,01/2022,03/2029,,908.47,908.47,289.45,23.57,0.0,31.86,0.0,0.0,False,False,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.450918'}"
46,PAI-400136,400136,,3190,SANGHMITRA OC,,Ministry of Coal,Coal,Jharkhand,03/2024,03/2024,03/2032,,2660.0,2660.0,16.1,16.77,0.0,0.61,0.0,0.0,False,False,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.450918'}"
47,PAI-400138,400138,N06000238,3188,CHANDRAGUPT OCP,,Ministry of Coal,Coal,Jharkhand,08/2020,08/2020,03/2032,,973.5,973.5,440.75,24.86,0.0,45.27,0.0,0.0,False,False,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.450918'}"
48,PAI-400139,400139,N06000237,3183,KOTRE BASANTPUR PACHMO OCP,,Ministry of Coal,Coal,Jharkhand,08/2020,08/2020,03/2032,,861.06,625.4,455.95,47.95,-27.37,72.91,0.0,0.0,False,False,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.450918'}"
49,PAI-400142,400142,N06000193,3135,Pachwara South Coal Block,NLC India Limited [NLCIL],Ministry of Coal,Coal,Jharkhand,03/2016,11/2019,09/2028,,2242.9,2242.9,1365.83,87.0,0.0,60.9,0.0,0.0,False,False,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.450918'}"
50,PAI-400150,400150,N06000216,3105,RPR MAGADH EXP OCP,,Ministry of Coal,Coal,Jharkhand,08/2020,08/2020,03/2028,,7254.37,7254.37,1688.4,40.21,0.0,23.27,0.0,0.0,False,False,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.450918'}"
51,PAI-400151,400151,N06000218,3103,NORTH URIMARI EXPANSION OCP,,Ministry of Coal,Coal,Jharkhand,07/2021,07/2021,03/2029,,778.8,778.8,605.7,71.38,0.0,77.77,0.0,0.0,False,False,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.450918'}"
52,PAI-400153,400153,N06000243,3100,EPR ROHINI - KARKETTA OCP,,Ministry of Coal,Coal,Jharkhand,01/2021,01/2021,03/2028,,1020.42,1020.42,84.94,22.84,0.0,8.32,0.0,0.0,False,False,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.450918'}"
53,PAI-400154,400154,N06000242,3099,EPR PUNDI OCP,,Ministry of Coal,Coal,Jharkhand,11/2020,11/2020,03/2027,,713.35,713.35,236.58,10.19,0.0,33.16,0.0,0.0,False,False,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.450918'}"
